Date,Open,High,Low,Close,Volume,Currency,security,ticker_id,class,country,source,Exchange
2020-01-02,24.9,24.9,24.9,24.9,541,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-03,25.34,25.37,25.34,25.5,10,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-06,24.95,24.96,24.7,24.74,17,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-07,24.59,24.85,24.59,25.06,24,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-08,24.88,24.88,24.57,24.6,514,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-09,24.84,25.2,24.84,25.2,123,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-10,24.82,24.82,24.71,24.73,57,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-13,24.55,24.73,24.55,24.66,109,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-14,24.28,24.33,24.2,24.37,61,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-15,24.95,25.08,24.82,25.04,1203,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-16,25.44,25.44,25.12,25.37,120,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-17,25.46,25.81,25.46,25.97,54,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-20,25.81,26.1,25.7,25.7,567,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-21,25.55,25.95,25.42,25.45,149,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-22,25.82,26.08,25.52,25.55,194,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-23,25.34,25.34,24.88,25.21,2475,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-24,25.33,25.33,24.8,24.87,456,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-27,24.7,24.88,24.6,25.05,77,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-28,25.05,25.05,25.05,25.1,10,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-29,24.88,24.88,24.44,24.43,556,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-30,24.3,24.34,23.9,24.17,4248,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-01-31,24.13,24.13,23.95,24.31,2090,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-03,24.15,24.15,23.42,23.63,293,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-04,23.69,23.87,23.35,23.78,1488,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-05,23.49,24.26,23.49,24.19,662,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-06,24.0,24.0,23.63,23.98,75,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-07,23.83,24.01,23.7,23.75,515,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-10,23.71,23.71,23.39,23.58,114,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-11,23.72,24.03,23.59,23.74,54,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-12,24.0,24.22,24.0,24.31,84,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-13,24.23,24.84,24.13,24.82,156,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-14,25.02,25.02,24.62,24.71,205,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-17,24.64,25.23,24.64,25.47,87,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-18,25.32,25.64,25.25,25.56,362,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-19,25.71,25.91,25.5,26.13,117,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-20,26.0,26.11,25.96,26.06,128,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-21,25.89,25.94,25.85,26.03,525,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-24,25.51,25.51,24.87,25.0,260,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-25,24.99,25.0,24.62,24.62,132,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-26,24.5,24.76,24.21,24.69,243,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-27,24.35,24.37,23.94,24.02,443,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-02-28,23.61,24.01,23.61,24.02,456,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-02,24.42,24.51,23.82,23.93,1623,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-03,23.82,24.14,23.71,23.77,281,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-04,23.74,24.37,23.74,24.24,3458,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-05,24.28,24.28,24.28,24.21,199,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-06,23.91,24.0,23.85,23.83,304,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-09,23.57,23.57,22.9,23.68,2457,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-10,23.75,24.39,23.75,24.5,116,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-11,24.35,24.35,24.0,24.34,310,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-12,24.23,24.23,22.95,22.96,589,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-13,23.34,23.34,22.4,22.38,42,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-16,22.0,22.0,19.67,19.98,430,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-17,20.4,20.4,18.74,19.05,6940,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-18,18.12,18.12,16.01,16.12,6831,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-19,16.9,17.4,16.23,17.19,2979,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-20,17.42,17.69,16.81,16.84,2686,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-23,15.6,16.38,15.15,16.28,1168,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-24,16.91,17.85,16.7,17.5,8749,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-25,17.6,18.29,16.87,18.21,1077,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-26,17.52,18.29,17.31,18.06,318,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-27,17.38,17.57,17.09,17.11,527,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-30,17.22,18.0,17.22,17.78,144,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-03-31,18.21,18.7,18.17,18.42,140,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-01,17.95,17.96,17.66,17.84,169,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-02,18.28,18.68,18.0,18.82,189,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-03,18.9,19.12,18.78,18.73,70,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-06,19.2,21.11,19.2,21.17,422,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-07,21.67,22.45,21.21,21.3,631,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-08,21.3,21.91,20.87,21.93,261,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-09,22.22,22.49,21.82,21.86,156,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-14,21.22,21.33,20.53,20.57,351,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-15,20.34,20.45,19.74,20.02,2798,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-16,20.45,21.86,20.45,21.69,1194,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-17,23.0,23.0,22.11,22.48,188,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-20,22.2,22.28,21.84,22.15,354,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-21,21.41,21.48,20.68,20.64,739,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-22,20.41,22.03,20.28,21.45,4091,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-23,21.23,21.85,21.23,21.82,536,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-24,21.5,21.91,21.38,21.53,100,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-27,21.74,21.74,20.75,21.09,155,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-28,20.93,21.5,20.82,21.04,880,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
2020-04-29,21.29,21.4,20.86,21.0,1168,EUR,Carbon Emissions,Carbon Emissions Futures,commodities,united kingdom,external,
