,name,symbol,status,price,market_cap,volume24h,total_volume,change24h,change7d,currency
0,Bitcoin,BTC,available,19078.4,364214054033.0835,17027423302.875078,41.72%,"
-0.92% ","
-9.68% ",USD
1,Ethereum,ETH,available,1047.82,128101760129.86043,8903232479.41194,21.81%,"
-1.24% ","
-13.41% ",USD
2,Tether,USDT,available,0.999,66019028871.26284,28890485350.141766,70.79%,"
-0.02% ","
-0.04% ",USD
3,USD Coin,USDC,available,1.0011,55819274552.06346,3783837554.2506995,9.27%,"
-0.01% ","
+0.01% ",USD
4,BNB,BNB,available,215.2,35219291027.66007,745676422.9977108,1.83%,"
-1.46% ","
-8.62% ",USD
5,Binance USD,BUSD,available,1.0012,17569745916.27128,3930536305.421661,9.63%,"
-0.01% ","
+0.21% ",USD
6,XRP,XRP,available,0.31711,15394085831.379263,791590821.4010638,1.94%,"
+0.83% ","
-12.84% ",USD
7,Cardano,ADA,available,0.4447,15070890801.863144,462878030.86203825,1.13%,"
-1.79% ","
-10.45% ",USD
8,Solana,SOL,available,32.689,11244857242.155678,635671947.4691347,1.56%,"
-0.70% ","
-18.11% ",USD
9,Dogecoin,DOGE,available,0.066308,8830038718.489603,318311341.8059403,0.78%,"
+0.25% ","
-11.19% ",USD
10,Dai,DAI,available,0.9996,6895757434.044373,150676780.12615377,0.37%,"
-0.02% ","
-0.02% ",USD
11,Polkadot,DOT,available,6.67,6629028459.320881,290665280.48001164,0.71%,"
-1.48% ","
-15.86% ",USD
12,TRON,TRX,available,0.066131,6116706301.016454,629271399.7660611,1.54%,"
+2.76% ","
-2.02% ",USD
13,UNUS SED LEO,LEO,available,5.8912,5603430099.444587,5914209.61584102,0.01%,"
-0.95% ","
-0.31% ",USD
14,Shiba Inu,SHIB,available,1e-05,5468336891.375792,209842197.48344472,0.51%,"
-0.80% ","
-12.41% ",USD
15,Wrapped Bitcoin,WBTC,available,19077.31,4971894835.899012,112345282.48994735,0.28%,"
-0.77% ","
-9.63% ",USD
16,Avalanche,AVAX,available,16.32,4630703700.737819,251822147.69003767,0.62%,"
+0.50% ","
-18.35% ",USD
17,Polygon,MATIC,available,0.453,3632785717.1590605,431757508.4235824,1.06%,"
-6.29% ","
-20.69% ",USD
18,Litecoin,LTC,available,49.71,3535171743.113778,402510385.7865577,0.99%,"
-1.47% ","
-13.54% ",USD
19,Uniswap,UNI,available,4.7403,3510826611.212258,86135913.66811381,0.21%,"
-3.84% ","
-16.42% ",USD
20,FTX Token,FTT,available,23.99,3249245926.7841525,51121423.04680484,0.13%,"
-1.39% ","
-12.69% ",USD
21,Chainlink,LINK,available,6.04,2835776371.9444065,227768224.7532201,0.56%,"
-1.64% ","
-11.83% ",USD
22,Cronos,CRO,available,0.1111,2815671230.677509,15030817.93385862,0.04%,"
-1.40% ","
-11.45% ",USD
23,Stellar,XLM,available,0.10658,2687017856.403755,118032960.74282022,0.29%,"
-1.00% ","
-12.20% ",USD
24,NEAR Protocol,NEAR,available,3.213,2349400144.6123133,138464662.44029117,0.34%,"
-2.39% ","
-16.68% ",USD
25,Cosmos,ATOM,available,7.8691,2262495533.9212556,314779935.73835135,0.77%,"
-0.40% ","
-3.80% ",USD
26,Algorand,ALGO,available,0.3007,2111930625.4232254,60130011.60686869,0.15%,"
-2.72% ","
-10.09% ",USD
27,Monero,XMR,available,115.203,2099656824.5004244,61212233.43249504,0.15%,"
-0.65% ","
-8.71% ",USD
28,Bitcoin BEP2,BTCB,available,16556.98,2009130657.1458778,7138308.03585557,0.02%,"
-0.92% ","
-9.64% ",USD
29,Bitcoin Cash,BCH,available,103.0,1986156199.1605911,1188202821.1801586,2.91%,"
-1.53% ","
-9.64% ",USD
30,Ethereum Classic,ETC,available,14.4505,1973638436.0549705,177701518.4434448,0.44%,"
-1.50% ","
-15.48% ",USD
31,VeChain,VET,available,0.02207,1607915311.410795,74656833.48105808,0.18%,"
-0.85% ","
-11.32% ",USD
32,Flow,FLOW,available,1.5018,1559150751.0631723,27157143.59973048,0.07%,"
-3.81% ","
-10.83% ",USD
33,Decentraland,MANA,available,0.824,1528878033.5071845,106731550.02956751,0.26%,"
-0.51% ","
-12.91% ",USD
34,ApeCoin,APE,available,4.42,1326598837.2064497,144714680.3865133,0.35%,"
-3.38% ","
-9.44% ",USD
35,The Sandbox,SAND,available,1.0468,1320310066.0168107,181700397.7440847,0.45%,"
+1.43% ","
-13.49% ",USD
36,Tezos,XTZ,available,1.44323,1304259604.642375,47665060.65266243,0.12%,"
-0.88% ","
-2.16% ",USD
37,Hedera,HBAR,available,0.06032,1283631089.4247146,16137760.2425578,0.04%,"
-3.96% ","
-12.88% ",USD
38,Internet Computer,ICP,available,5.21,1265155952.471517,29552015.32663755,0.07%,"
-0.57% ","
-11.17% ",USD
39,TrueUSD,TUSD,available,1.0012,1207843858.7845483,54743274.05253834,0.13%,"
0% ","
+0.02% ",USD
40,Filecoin,FIL,available,5.21,1189672472.7626328,76217317.20084397,0.19%,"
-1.50% ","
-12.10% ",USD
41,Theta Network,THETA,available,1.1788,1185703073.364424,65407689.84528566,0.16%,"
+0.67% ","
-13.54% ",USD
42,Axie Infinity,AXS,available,13.7707,1141825268.7278283,131266243.69471502,0.32%,"
-0.21% ","
-15.89% ",USD
43,Elrond,EGLD,available,50.18,1133402947.723652,33116379.15991541,0.08%,"
-0.73% ","
-11.50% ",USD
44,Helium,HNT,available,9.08,1104149426.6220214,8665156.7755628,0.02%,"
+0.33% ","
-16.18% ",USD
45,Bitcoin SV,BSV,available,52.1,999987503.0517333,58947781.5850968,0.14%,"
-1.78% ","
-14.59% ",USD
46,Pax Dollar,USDP,available,1.0011,942072520.0385256,33444734.76656359,0.08%,"
-0.01% ","
-0.39% ",USD
47,EOS,EOS,available,0.9207,921166873.5386821,127423460.59697963,0.31%,"
-1.22% ","
-7.76% ",USD
48,Maker,MKR,available,881.52,868860326.920956,93898161.93205746,0.23%,"
-1.84% ","
-13.47% ",USD
49,Terra Classic,LUNC,available,0.0001247,822477502.6994191,196090903.8267635,0.48%,"
-0.46% ","
+61.08% ",USD
50,KuCoin Token,KCS,available,8.115,802639173.1135963,6277264.7173632,0.02%,"
-1.28% ","
-24.58% ",USD
51,Aave,AAVE,available,56.4,796552372.5941963,107456070.0360059,0.26%,"
-0.90% ","
-14.33% ",USD
52,Zcash,ZEC,available,52.98,785705236.0279392,38717231.93722711,0.09%,"
-0.76% ","
-18.37%  ",USD
53,BitTorrent (New),BTT,available,0.0,782318134.0699213,69775717.7361014,0.17%,"
+3.75% ","
-3.00% ",USD
54,Neutrino USD,USDN,available,0.9875,762972209.3287048,3885039.84309941,0.01%,"
+0.54% ","
-0.83% ",USD
55,IOTA,MIOTA,available,0.2639,741685755.6416123,6502565.79104013,0.02%,"
-1.49% ","
-8.52% ",USD
56,OKB,OKB,available,12.202,731446964.7966807,7596300.50395843,0.02%,"
+1.14% ","
-3.33% ",USD
57,eCash,XEC,available,3.8e-05,726049933.5850878,5428136.96818243,0.01%,"
-0.76% ","
-7.27% ",USD
58,USDD,USDD,available,0.9913,716792049.5577332,125171263.53671652,0.31%,"
-0.04% ","
+0.91% ",USD
59,Klaytn,KLAY,available,0.2302,675014266.4447532,25769625.49561249,0.06%,"
-0.13% ","
-6.86% ",USD
60,Quant,QNT,available,55.53,674398411.4012243,21545057.53155787,0.05%,"
+1.05% ","
-10.64% ",USD
61,Huobi Token,HT,available,4.3318,669414650.6882583,21943563.25511166,0.05%,"
-1.14% ","
-18.49% ",USD
62,TerraUSD,USTC,available,0.033,661349448.1746731,90034627.80980213,0.22%,"
-54.41% ","
+152.00% ",USD
63,THORChain,RUNE,available,1.967,649653618.017576,129927862.26616633,0.32%,"
+8.49% ","
-9.65% ",USD
64,BitTorrent,BTTOLD,available,0.002777,644743802.2422693,2244.04088718,0%,"
0% ","
-3.80% ",USD
65,Fantom,FTM,available,0.25,638783150.022876,131343229.91589612,0.32%,"
+1.18% ","
-11.95% ",USD
66,The Graph,GRT,available,0.0914,636184965.5955727,25402784.5879268,0.06%,"
-1.40% ","
-16.36% ",USD
67,PAX Gold,PAXG,available,1814.0,604928170.3103832,15067815.24781647,0.04%,"
-0.11% ","
-1.08% ",USD
68,Basic Attention Token,BAT,available,0.38608,584034417.2731493,51553182.16535043,0.13%,"
-4.59% ","
-2.97% ",USD
69,Chiliz,CHZ,available,0.0972,583901543.0462903,64038229.7367253,0.16%,"
 +0.42% ","
-3.63% ",USD
70,Neo,NEO,available,8.0578,570844899.239963,35964763.20468601,0.09%,"
-1.74% ","
-16.34% ",USD
71,Waves,WAVES,available,5.14,561290395.3002604,138566804.1795685,0.34%,"
+0.35% ","
-18.06% ",USD
72,Loopring,LRC,available,0.37277,499305712.16504616,40062672.3370889,0.10%,"
-1.24% ","
-9.27% ",USD
73,Stacks,STX,available,0.371,496952143.75113976,5280086.82452419,0.01%,"
-3.13% ","
-12.49% ",USD
74,Zilliqa,ZIL,available,0.037558,493719079.28579766,120242129.93420845,0.29%,"
-2.79% ","
-18.70% ",USD
75,STEPN,GMT,available,0.79568,476883882.2737337,210560053.7636508,0.52%,"
-1.92% ","
-18.98% ",USD
76,Dash,DASH,available,41.68,452856914.3878416,68170783.7610901,0.17%,"
-1.92% ","
-16.64% ",USD
77,PancakeSwap,CAKE,available,3.027,434875730.1176611,58617940.78999081,0.14%,"
-0.20% ","
-9.41% ",USD
78,Enjin Coin,ENJ,available,0.468,421947242.0059583,49941012.15455177,0.12%,"
-1.25% ","
-18.33% ",USD
79,Curve DAO Token,CRV,available,0.7783,421223111.03428876,106149480.17959392,0.26%,"
+0.13% ","
+1.17% ",USD
80,Fei USD,FEI,available,0.9867,420009784.18057156,1697691.91462684,0%,"
-0.43% ","
-0.66% ",USD
81,Kusama,KSM,available,48.4113,412214615.28866315,22443223.39111054,0.05%,"
-0.18% ","
-9.95% ",USD
82,Celo,CELO,available,0.847,384184796.2439924,12926392.12899367,0.03%,"
-1.63% ","
-10.23% ",USD
83,Amp,AMP,available,0.00903,382563786.3104509,16778823.3947529,0.04%,"
-0.77% ","
-1.67% ",USD
84,Kava.io,KAVA,available,1.686,373769490.14487445,16045173.30745394,0.04%,"
-5.28% ","
-8.79% ",USD
85,Arweave,AR,available,11.09,369892913.0542093,30139053.41867586,0.07%,"
+8.94% ","
+9.87% ",USD
86,NEM,XEM,available,0.04073,367239339.6790491,53850386.24370655,0.13%,"
-7.65% ","
-2.42% ",USD
87,Gala,GALA,available,0.05156,361660496.79946274,107523499.93845992,0.26%,"
-2.48% ","
-16.33% ",USD
88,Holo,HOT,available,0.002022,351647533.70257324,15397321.46668698,0.04%,"
-0.80% ","
-12.33% ",USD
89,Mina,MINA,available,0.61,349840713.2655409,15250396.19159187,0.04%,"
-1.13% ","
-12.17% ",USD
90,Compound,COMP,available,47.59,342890127.4245893,122927176.90863042,0.30%,"
+1.51% ","
-7.87% ",USD
91,1inch,1INCH,available,0.606,342173385.66287535,23487915.3863214,0.06%,"
-3.81% ","
-13.24% ",USD
92,Nexo,NEXO,available,0.59,327640588.511895,9198447.5699521,0.02%,"
+4.26% ","
-12.78% ",USD
93,Decred,DCR,available,22.1709,314834757.94721985,1587624.50274497,0%,"
-0.41% ","
-13.51% ",USD
94,GateToken,GT,available,4.02,314302503.76763797,1649278.22013766,0%,"
-0.95% ","
-7.37% ",USD
95,WEMIX,WEMIX,available,2.52169,313847060.65345615,27089803.55591279,0.07%,"
-5.45% ","
-9.19% ",USD
