Date,Open,High,Low,Close,Volume,Currency,Exchange,security,ticker_id,sector,class,source
2020-01-02,30.9,31.11,30.9,31.08,273777,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-03,31.29,31.38,31.05,31.12,231179,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-06,31.37,31.62,31.35,31.54,424099,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-07,31.41,31.41,31.07,31.38,267643,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-08,31.33,31.4,30.94,31.0,687922,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-09,30.9,31.05,30.59,31.04,1371006,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-10,31.06,31.06,30.87,30.91,205513,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-13,30.9,30.97,30.72,30.94,246600,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-14,30.83,30.93,30.68,30.91,193618,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-15,30.79,30.83,30.65,30.72,254830,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-16,30.87,30.95,30.72,30.74,476173,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-17,30.78,30.84,30.55,30.58,442471,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-21,30.44,30.44,30.1,30.14,192416,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-22,30.09,30.2,29.89,29.95,346171,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-23,29.67,29.9,29.46,29.86,429887,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-24,29.82,29.84,29.41,29.6,864937,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-27,29.04,29.11,28.83,28.86,328237,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-28,28.94,29.07,28.84,28.99,354508,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-29,29.02,29.04,28.73,28.76,340024,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-30,28.43,28.76,28.28,28.76,607505,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-01-31,28.26,28.26,27.82,27.92,394465,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-03,27.87,27.9,27.54,27.57,449352,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-04,28.01,28.15,27.76,27.8,1001601,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-05,28.25,28.65,28.25,28.57,320403,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-06,28.63,28.64,28.32,28.38,283003,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-07,28.13,28.22,28.02,28.06,234729,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-10,27.99,27.99,27.81,27.98,543298,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-11,28.28,28.37,28.2,28.27,202352,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-12,28.57,28.69,28.47,28.64,456300,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-13,28.45,28.59,28.34,28.44,166541,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-14,28.47,28.47,28.17,28.29,179206,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-17,28.29,28.29,28.29,28.29,0,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-18,28.08,28.16,27.92,28.11,183554,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-19,28.28,28.51,28.18,28.41,142951,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-20,28.44,28.55,28.25,28.28,232807,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-21,28.06,28.06,27.82,28.01,231504,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-24,27.05,27.05,26.7,26.76,430419,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-25,26.84,26.84,25.72,25.81,537027,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-26,25.99,26.09,25.32,25.33,640659,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-27,24.75,25.08,24.17,24.17,1430228,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-02-28,23.51,24.31,23.23,24.25,887879,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-03-02,24.56,24.89,23.98,24.89,985051,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
2020-03-03,25.06,25.32,24.08,24.33,858203,USD,NYSE,iShares Global Energy,IXC,"electricity, gas and water supply",etf,external
