Date,Open,High,Low,Close,Volume,Currency,security,ticker_id,class,source
2020-01-02,12.289,12.439,11.894,12.279,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-03,11.43,13.103,11.246,13.051,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-06,13.673,14.047,13.286,13.483,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-07,12.941,13.106,12.622,12.622,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-08,12.622,14.213,12.622,13.018,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-09,12.479,12.748,12.159,12.23,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-10,10.931,11.28,10.756,11.184,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-13,12.214,12.25,11.534,11.556,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-14,11.311,11.398,10.977,11.011,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-15,10.864,11.325,10.852,11.099,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-16,10.9,11.185,10.867,10.939,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-17,10.927,11.283,10.858,11.273,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-20,11.381,11.713,11.282,11.689,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-21,11.472,12.437,11.47,12.124,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-22,11.84,12.332,11.551,12.11,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-23,11.999,12.715,11.999,12.154,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-24,11.853,12.127,11.835,11.951,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-28,14.514,15.15,14.451,14.572,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-29,13.842,13.89,13.379,13.507,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-30,12.924,14.036,12.92,13.98,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-01-31,13.475,13.895,13.41,13.767,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-03,16.01,17.295,15.873,15.873,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-04,15.716,15.753,15.116,15.397,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-05,14.725,14.795,14.486,14.552,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-06,13.819,13.819,13.292,13.398,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-07,13.163,13.679,13.141,13.56,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-10,13.883,14.596,13.88,14.138,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-11,13.488,13.531,13.364,13.378,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-12,13.011,13.105,12.63,12.825,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-13,12.026,13.404,11.905,13.278,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-14,13.175,13.254,12.159,12.295,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-17,12.618,12.668,12.371,12.379,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-18,12.768,12.768,12.15,12.156,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-19,11.709,12.058,11.674,12.007,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-20,11.622,12.578,11.622,12.394,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-21,12.294,12.744,12.282,12.671,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-24,12.671,16.395,12.671,15.996,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-25,17.335,18.224,16.821,17.26,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-26,19.179,19.275,17.53,19.25,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-27,17.452,20.575,17.336,20.178,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-02-28,20.178,25.753,20.178,25.314,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-02,25.314,29.717,24.087,24.351,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-03,24.351,24.351,20.252,23.181,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-04,24.236,24.908,23.111,23.644,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-05,21.006,22.733,20.593,22.152,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-06,22.152,26.995,22.152,26.687,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-09,26.687,35.922,26.405,34.951,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-10,34.951,37.684,21.385,30.032,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-11,30.032,36.013,24.412,35.836,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-12,35.836,38.588,22.982,22.982,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-13,22.982,43.064,22.982,42.339,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-16,42.339,42.339,42.339,42.339,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-17,42.339,55.826,42.339,47.354,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-18,47.354,55.387,47.354,53.095,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-19,53.095,54.751,52.476,52.901,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-20,52.901,52.901,41.147,44.29,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-23,44.29,44.318,25.788,36.719,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-24,36.719,42.169,26.066,41.95,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-25,41.95,43.734,23.775,43.734,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-26,43.734,43.734,37.908,38.494,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-27,38.494,40.361,38.494,39.746,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-30,39.746,42.125,37.23,41.938,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-03-31,41.938,41.938,35.629,35.629,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-01,35.629,40.766,35.629,40.766,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-02,40.766,43.158,38.315,43.115,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-03,43.115,43.115,43.115,43.115,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-06,43.115,43.115,32.935,34.712,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-07,34.712,34.712,24.234,32.551,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-08,32.551,34.668,29.989,34.668,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-09,34.668,34.668,28.562,30.277,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-14,30.277,34.98,24.205,29.55,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-15,30.357,34.15,24.08,28.768,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-16,28.768,37.811,25.731,32.552,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-17,32.552,34.743,26.197,26.927,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-20,26.927,33.186,26.34,32.079,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-21,32.079,33.505,27.26,28.313,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-22,28.313,32.95,26.882,28.366,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-23,28.366,31.941,26.415,30.528,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-24,30.528,31.093,26.665,27.244,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-27,27.244,31.384,25.569,30.604,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-28,29.683,30.599,24.416,24.566,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
2020-04-29,24.566,28.918,22.682,23.403,0,AUD,S&P/ASX 200 VIX,AXVI,index,external
